tid,yr,doy
BK.GHOP.S0,2026,189
BK.GHOP.S0,2026,190
BK.GHOP.S0,2026,191
BK.GHOP.S0,2026,192
BK.GHOP.S0,2026,193
BK.GHOP.S0,2026,194
BK.GHOP.S0,2026,195
BK.GHOP.S0,2026,196
BK.GRPK.00,2026,182
BK.GRPK.00,2026,183
BK.GRPK.00,2026,184
BK.GRPK.00,2026,185
BK.GRPK.00,2026,186
BK.GRPK.S0,2026,181
BK.GRPK.S0,2026,182
BK.GRPK.S0,2026,183
BK.GRPK.S0,2026,184
BK.GRPK.S0,2026,185
BK.GRPK.S0,2026,186
BK.GRPK.S0,2026,187
BK.GRPK.S0,2026,188
BK.GRPK.S0,2026,189
BK.GRPK.S0,2026,190
BK.GRPK.S0,2026,191
BK.GRPK.S0,2026,192
BK.GRPK.S0,2026,193
BK.GRPK.S0,2026,194
BK.GRPK.S0,2026,195
BK.GRPK.S0,2026,196
BK.GTSB.00,2026,182
BK.GTSB.00,2026,183
BK.GTSB.00,2026,184
BK.GTSB.00,2026,185
BK.GTSB.00,2026,186
BK.GTSB.S0,2026,181
BK.GTSB.S0,2026,182
BK.GTSB.S0,2026,183
BK.GTSB.S0,2026,184
BK.GTSB.S0,2026,185
BK.GTSB.S0,2026,186
BK.GTSB.S0,2026,187
BK.GTSB.S0,2026,188
BK.GTSB.S0,2026,189
BK.GTSB.S0,2026,190
BK.GTSB.S0,2026,191
BK.GTSB.S0,2026,192
BK.GTSB.S0,2026,193
BK.GTSB.S0,2026,194
BK.GTSB.S0,2026,195
BK.GTSB.S0,2026,196
BK.GUMB.00,2026,182
BK.GUMB.00,2026,183
BK.GUMB.00,2026,184
BK.GUMB.00,2026,185
BK.GUMB.00,2026,186
BK.GUMB.S0,2026,181
BK.GUMB.S0,2026,182
BK.GUMB.S0,2026,183
BK.GUMB.S0,2026,184
BK.GUMB.S0,2026,185
BK.GUMB.S0,2026,186
BK.GUMB.S0,2026,187
BK.GUMB.S0,2026,188
BK.GUMB.S0,2026,189
BK.GUMB.S0,2026,190
BK.GUMB.S0,2026,191
BK.GUMB.S0,2026,192
BK.GUMB.S0,2026,193
BK.GUMB.S0,2026,194
BK.GUMB.S0,2026,195
BK.GUMB.S0,2026,196
BK.HALS.00,2026,182
BK.HALS.00,2026,183
BK.HALS.00,2026,184
BK.HALS.00,2026,185
BK.HALS.00,2026,186
BK.HALS.S0,2026,181
BK.HALS.S0,2026,182
BK.HALS.S0,2026,183
BK.HALS.S0,2026,184
BK.HALS.S0,2026,185
BK.HALS.S0,2026,186
BK.HALS.S0,2026,187
BK.HALS.S0,2026,188
BK.HALS.S0,2026,189
BK.HALS.S0,2026,190
BK.HALS.S0,2026,191
BK.HALS.S0,2026,192
BK.HALS.S0,2026,193
BK.HALS.S0,2026,194
BK.HALS.S0,2026,195
BK.HALS.S0,2026,196
BK.HAPY.00,2026,182
BK.HAPY.00,2026,183
BK.HAPY.00,2026,184
BK.HAPY.00,2026,185
BK.HAPY.00,2026,186
BK.HAPY.S0,2026,181
BK.HAPY.S0,2026,182
BK.HAPY.S0,2026,183
BK.HAPY.S0,2026,184
BK.HAPY.S0,2026,185
BK.HAPY.S0,2026,186
BK.HAPY.S0,2026,187
BK.HAPY.S0,2026,188
BK.HAPY.S0,2026,189
BK.HAPY.S0,2026,190
BK.HAPY.S0,2026,191
BK.HAPY.S0,2026,192
BK.HAPY.S0,2026,193
BK.HAPY.S0,2026,194
BK.HAPY.S0,2026,195
BK.HAPY.S0,2026,196
BK.HAS2.00,2026,182
BK.HAS2.00,2026,183
BK.HAS2.00,2026,184
BK.HAS2.00,2026,185
BK.HAS2.00,2026,186
BK.HAS2.S0,2026,181
BK.HAS2.S0,2026,182
BK.HAS2.S0,2026,183
BK.HAS2.S0,2026,184
BK.HAS2.S0,2026,185
BK.HAS2.S0,2026,186
BK.HAS2.S0,2026,187
BK.HAS2.S0,2026,188
BK.HAS2.S0,2026,189
BK.HAS2.S0,2026,190
BK.HAS2.S0,2026,191
BK.HAS2.S0,2026,192
BK.HAS2.S0,2026,193
BK.HAS2.S0,2026,194
BK.HAS2.S0,2026,195
BK.HAS2.S0,2026,196
BK.HATC.,2026,181
BK.HATC.,2026,182
BK.HATC.,2026,183
BK.HATC.,2026,184
BK.HATC.,2026,185
BK.HATC.,2026,186
BK.HATC.,2026,187
BK.HATC.,2026,188
BK.HATC.,2026,189
BK.HATC.,2026,190
BK.HATC.,2026,191
BK.HATC.,2026,192
BK.HATC.,2026,193
BK.HATC.,2026,194
BK.HATC.,2026,195
BK.HATC.,2026,196
BK.HATC.00,2026,182
BK.HATC.00,2026,183
BK.HATC.00,2026,184
BK.HATC.00,2026,185
BK.HATC.00,2026,186
BK.HAYF.00,2026,101
BK.HAYF.00,2026,102
BK.HAYF.00,2026,103
BK.HELL.00,2026,101
BK.HELL.00,2026,102
BK.HELL.00,2026,103
BK.HERB.40,2026,101
BK.HERB.40,2026,102
BK.HERB.40,2026,103
BK.HOPS.00,2026,101
BK.HOPS.00,2026,102
BK.HOPS.00,2026,103
BK.HRCH.00,2026,101
BK.HRCH.00,2026,102
BK.HRCH.00,2026,103
BK.HULI.00,2026,101
BK.HULI.00,2026,102
BK.HULI.00,2026,103
BK.HULL.00,2026,101
BK.HULL.00,2026,102
BK.HULL.00,2026,103
BK.HUNT.00,2026,101
BK.HUNT.00,2026,102
BK.HUNT.00,2026,103
BK.JASP.00,2026,101
BK.JASP.00,2026,102
BK.JCC.00,2026,101
BK.JCC.00,2026,102
BK.JEPS.00,2026,101
BK.JEPS.00,2026,102
BK.JEWT.00,2026,101
BK.JEWT.00,2026,102
BK.KARE.00,2026,101
BK.KARE.00,2026,102
BK.KETL.00,2026,101
BK.KETL.00,2026,102
BK.KNEE.00,2026,101
BK.KNEE.00,2026,102
BK.KRUG.00,2026,101
BK.KRUG.00,2026,102
BK.LAKN.00,2026,91
BK.LAKN.00,2026,92
BK.LAKN.00,2026,93
BK.LAKN.00,2026,94
BK.LAKN.S0,2026,81
BK.LAKN.S0,2026,82
BK.LAKN.S0,2026,83
BK.LAKN.S0,2026,84
BK.LAKN.S0,2026,85
BK.LAKN.S0,2026,86
BK.LAKN.S0,2026,87
BK.LAKN.S0,2026,88
BK.LAKN.S0,2026,89
BK.LAKN.S0,2026,90
BK.LAKN.S0,2026,91
BK.LAKN.S0,2026,92
BK.LAKN.S0,2026,93
BK.LAKN.S0,2026,94
BK.LAKN.S0,2026,95
BK.LAKN.S0,2026,96
BK.LAKN.S0,2026,97
BK.LAKN.S0,2026,98
BK.LAND.00,2026,91
BK.LAND.00,2026,92
BK.LAND.00,2026,93
BK.LAND.00,2026,94
BK.LCOS.00,2026,91
BK.LCOS.00,2026,92
BK.LCOS.00,2026,93
BK.LCOS.00,2026,94
BK.LCOS.S0,2026,81
BK.LCOS.S0,2026,82
BK.LCOS.S0,2026,83
BK.LCOS.S0,2026,84
BK.LCOS.S0,2026,85
BK.LCOS.S0,2026,86
BK.LCOS.S0,2026,87
BK.LCOS.S0,2026,88
BK.LCOS.S0,2026,89
BK.LCOS.S0,2026,90
BK.LCOS.S0,2026,91
BK.LCOS.S0,2026,92
BK.LCOS.S0,2026,93
BK.LCOS.S0,2026,94
BK.LCOS.S0,2026,95
BK.LCOS.S0,2026,96
BK.LCOS.S0,2026,97
BK.LCOS.S0,2026,98
BK.LCOW.00,2026,91
BK.LCOW.00,2026,92
BK.LCOW.00,2026,93
BK.LCOW.00,2026,94
BK.LCUV.00,2026,91
BK.LCUV.00,2026,92
BK.LCUV.00,2026,93
BK.LCUV.00,2026,94
BK.LEGD.00,2026,91
BK.LEGD.00,2026,92
BK.LEGD.00,2026,93
BK.LEGD.00,2026,94
BK.LGMB.00,2026,91
BK.LGMB.00,2026,92
BK.LGMB.00,2026,93
BK.LGMB.00,2026,94
BK.LGMB.S0,2026,81
BK.LGMB.S0,2026,82
BK.LGMB.S0,2026,83
BK.LGMB.S0,2026,84
BK.LGMB.S0,2026,85
BK.LGMB.S0,2026,86
BK.LGMB.S0,2026,87
BK.LGMB.S0,2026,88
BK.LGMB.S0,2026,89
BK.LGMB.S0,2026,90
BK.LGMB.S0,2026,91
BK.LGMB.S0,2026,92
BK.LGMB.S0,2026,93
BK.LGMB.S0,2026,94
BK.LGMB.S0,2026,95
BK.LGMB.S0,2026,96
BK.LGMB.S0,2026,97
