shard_id,basis,files,survivors,planned,with_picks,recorded,lost
2017144-2017164-43b2e73c2781,plan up to the resumed attempt's first day (progress overwritten),6,3,403,201,100,292
2010241-2010261-53bf1af1d9ab,plan up to the resumed attempt's first day (progress overwritten),11,3,432,422,314,292
2017304-2017324-5d2b792ee666,plan up to the resumed attempt's first day (progress overwritten),28,19,576,381,120,291
2023173-2023193-7153c50e646a,plan up to the resumed attempt's first day (progress overwritten),7,4,420,192,82,291
2023213-2023233-d3f8bb9e8d3b,plan up to the resumed attempt's first day (progress overwritten),6,1,336,221,181,291
2015015-2015035-4f61fdd8a198,plan up to the resumed attempt's first day (progress overwritten),7,6,540,278,40,290
2015075-2015095-93943747cf5a,plan up to the resumed attempt's first day (progress overwritten),6,3,406,188,77,290
2018339-2018359-4e2621463a61,plan up to the resumed attempt's first day (progress overwritten),3,1,338,119,79,289
2011096-2011116-9086f42438a5,plan up to the resumed attempt's first day (progress overwritten),12,5,351,480,280,289
2024308-2024328-d25c02a2a33c,plan up to the resumed attempt's first day (progress overwritten),21,15,496,279,79,289
2023053-2023073-8aa9213524ed,plan up to the resumed attempt's first day (progress overwritten),7,4,450,239,98,289
2022158-2022178-062d8822833e,plan up to the resumed attempt's first day (progress overwritten),10,4,378,180,100,288
2019174-2019194-e755d72c5624,plan up to the resumed attempt's first day (progress overwritten),3,1,333,100,60,288
2023113-2023133-dd85a7f252a3,plan up to the resumed attempt's first day (progress overwritten),21,18,522,262,40,288
2016030-2016050-bd8ea464e89d,plan up to the resumed attempt's first day (progress overwritten),31,25,612,395,78,288
2022258-2022278-9fdaa970f9ae,plan up to the resumed attempt's first day (progress overwritten),30,9,432,351,231,287
2016270-2016290-5dacc1759bed,plan up to the resumed attempt's first day (progress overwritten),6,5,442,184,40,287
2024108-2024128-ffa1e7dcdac4,plan up to the resumed attempt's first day (progress overwritten),23,17,510,263,60,286
2015275-2015295-a6157180f7f7,plan up to the resumed attempt's first day (progress overwritten),4,2,322,61,40,286
2018039-2018059-b77bdd96dc63,plan up to the resumed attempt's first day (progress overwritten),6,5,468,205,40,286
2020329-2020349-4bcfcf6bf2a3,plan up to the resumed attempt's first day (progress overwritten),18,8,468,344,184,286
2023273-2023293-0ca7aded5946,plan up to the resumed attempt's first day (progress overwritten),5,1,308,156,142,285
2012331-2012351-1d0997f41c2a,plan up to the resumed attempt's first day (progress overwritten),3,1,315,85,60,285
2014320-2014340-f1cb80246467,plan up to the resumed attempt's first day (progress overwritten),13,2,400,473,395,285
2020289-2020309-c49ac4a6df4f,plan up to the resumed attempt's first day (progress overwritten),6,2,372,199,120,285
2016330-2016350-5317bef043b7,plan up to the resumed attempt's first day (progress overwritten),13,6,520,500,275,284
2022298-2022318-7b193f1b6f5a,plan up to the resumed attempt's first day (progress overwritten),6,3,392,186,94,284
2024348-2025002-8192848f39d1,plan up to the resumed attempt's first day (progress overwritten),5,1,338,148,112,284
2021083-2021103-85b0cfefee58,plan up to the resumed attempt's first day (progress overwritten),8,4,350,120,55,283
2020329-2020349-f917f5133135,plan up to the resumed attempt's first day (progress overwritten),8,4,350,122,59,282
2018259-2018279-33b94dec9fa7,plan up to the resumed attempt's first day (progress overwritten),5,4,442,190,40,282
2021303-2021323-8b7869d48dbf,plan up to the resumed attempt's first day (progress overwritten),32,23,576,395,109,282
2017284-2017304-b2553761d5ed,plan up to the resumed attempt's first day (progress overwritten),6,1,336,228,189,282
2022158-2022178-360e62ce2dde,plan up to the resumed attempt's first day (progress overwritten),5,4,442,197,40,281
2011336-2011356-33c7d2570df5,plan up to the resumed attempt's first day (progress overwritten),10,3,408,394,276,281
2023113-2023133-c688d8fd600d,plan up to the resumed attempt's first day (progress overwritten),19,13,459,221,58,281
2023273-2023293-d14073c00894,plan up to the resumed attempt's first day (progress overwritten),6,4,416,183,60,281
2021363-2022018-f1815ca91cf7,plan up to the resumed attempt's first day (progress overwritten),4,1,312,112,99,280
2012151-2012171-54f3b56b2697,plan up to the resumed attempt's first day (progress overwritten),10,2,374,372,320,280
2019194-2019214-a465d2584aac,plan up to the resumed attempt's first day (progress overwritten),7,2,364,215,140,280
2014080-2014100-4a5b63772a7a,plan up to the resumed attempt's first day (progress overwritten),6,4,420,211,79,280
2023293-2023313-3c7cf2fb4675,plan up to the resumed attempt's first day (progress overwritten),9,6,495,302,97,280
2025062-2025082-a57d024f9611,plan up to the resumed attempt's first day (progress overwritten),6,4,448,227,80,280
2024228-2024248-9ba9b9395c1e,plan up to the resumed attempt's first day (progress overwritten),5,2,364,156,80,279
2021343-2021363-39b598bdf411,plan up to the resumed attempt's first day (progress overwritten),33,27,648,417,62,279
2025202-2025222-d4fde3d235af,plan up to the resumed attempt's first day (progress overwritten),6,4,405,182,63,279
2018099-2018119-fd73f77fe4b6,plan up to the resumed attempt's first day (progress overwritten),33,27,648,420,61,278
2011096-2011116-bf16fdb31817,plan up to the resumed attempt's first day (progress overwritten),2,1,322,80,40,278
2020149-2020169-555f404c35ee,plan up to the resumed attempt's first day (progress overwritten),12,7,532,430,197,277
2012291-2012311-f4b6ae9f7bbf,plan up to the resumed attempt's first day (progress overwritten),6,3,390,161,60,277
2025302-2025322-9bd8bb3ae7e8,plan up to the resumed attempt's first day (progress overwritten),11,3,341,208,160,277
2024328-2024348-d77c2201af50,plan up to the resumed attempt's first day (progress overwritten),19,13,544,360,120,277
2021203-2021223-2b05b970746b,plan up to the resumed attempt's first day (progress overwritten),33,24,576,399,107,277
2010181-2010201-1fb268dee919,plan up to the resumed attempt's first day (progress overwritten),20,4,296,143,140,277
2016070-2016090-34cb22e06da6,plan up to the resumed attempt's first day (progress overwritten),16,4,360,293,232,277
2021163-2021183-0f2bce8c9463,plan up to the resumed attempt's first day (progress overwritten),4,1,322,99,60,277
2024208-2024228-1b3c04b8565f,plan up to the resumed attempt's first day (progress overwritten),24,21,540,296,40,276
2022338-2022358-034c908dee7f,plan up to the resumed attempt's first day (progress overwritten),13,7,560,513,233,275
2021223-2021243-975232300ffe,plan up to the resumed attempt's first day (progress overwritten),4,2,360,140,60,275
2010241-2010261-5663464cd06a,plan up to the resumed attempt's first day (progress overwritten),13,6,507,491,260,275
2013225-2013245-7c3c702d7bdc,plan up to the resumed attempt's first day (progress overwritten),27,21,648,418,66,275
2017044-2017064-79db21b0ac0e,plan up to the resumed attempt's first day (progress overwritten),7,2,360,191,131,275
2012211-2012231-5645a658712c,plan up to the resumed attempt's first day (progress overwritten),11,4,420,410,280,274
2023073-2023093-801f2428b215,plan up to the resumed attempt's first day (progress overwritten),7,3,392,197,100,274
2025022-2025042-99b4d357629e,plan up to the resumed attempt's first day (progress overwritten),24,15,448,275,118,274
2022298-2022318-02ba24639101,plan up to the resumed attempt's first day (progress overwritten),21,18,504,258,40,274
2024088-2024108-c6bb67439ee6,plan up to the resumed attempt's first day (progress overwritten),6,5,442,203,40,274
2023153-2023173-0879a4d3e0fe,plan up to the resumed attempt's first day (progress overwritten),10,8,576,347,60,274
2025142-2025162-1876c91efcd3,plan up to the resumed attempt's first day (progress overwritten),9,5,462,293,121,273
2025302-2025322-dcc80029d263,plan up to the resumed attempt's first day (progress overwritten),8,6,493,271,60,273
2023293-2023313-ea92fa9bdf98,plan up to the resumed attempt's first day (progress overwritten),21,15,480,271,80,273
2023213-2023233-bf9e41e103a8,plan up to the resumed attempt's first day (progress overwritten),5,2,364,183,104,272
2025182-2025202-039bb2482af3,plan up to the resumed attempt's first day (progress overwritten),6,1,324,220,180,272
2017144-2017164-ff54b0344bce,plan up to the resumed attempt's first day (progress overwritten),6,3,392,206,100,272
2011056-2011076-12e75f24cda8,plan up to the resumed attempt's first day (progress overwritten),13,6,532,481,253,271
2016090-2016110-398060424b05,plan up to the resumed attempt's first day (progress overwritten),7,5,476,250,60,271
2021143-2021163-c583f81e5171,plan up to the resumed attempt's first day (progress overwritten),14,10,459,233,60,271
2019034-2019054-81af6e0e8b7a,plan up to the resumed attempt's first day (progress overwritten),3,1,308,78,59,271
2020089-2020109-807b48873b59,plan up to the resumed attempt's first day (progress overwritten),10,7,400,169,45,271
2016210-2016230-1c2b3aeff69e,plan up to the resumed attempt's first day (progress overwritten),4,1,312,111,92,271
2015115-2015135-cc5e7fef23fa,plan up to the resumed attempt's first day (progress overwritten),30,12,432,360,214,270
2010181-2010201-7e04b426b221,plan up to the resumed attempt's first day (progress overwritten),12,1,312,474,438,270
2013245-2013265-5b7c16471a3e,plan up to the resumed attempt's first day (progress overwritten),10,6,418,399,160,270
2021223-2021243-de25a1443ca2,plan up to the resumed attempt's first day (progress overwritten),33,27,648,431,74,269
2019074-2019094-04b45ad3bf10,plan up to the resumed attempt's first day (progress overwritten),6,3,390,174,60,269
2012071-2012091-ec98b01c3ddf,plan up to the resumed attempt's first day (progress overwritten),11,6,525,405,180,269
2021323-2021343-d69fb7813011,plan up to the resumed attempt's first day (progress overwritten),12,8,432,216,61,269
2015115-2015135-3ec85e49bb67,plan up to the resumed attempt's first day (progress overwritten),4,2,338,140,80,268
2014100-2014120-5361aebfd1a0,plan up to the resumed attempt's first day (progress overwritten),5,3,384,163,59,268
2020169-2020189-9e0aed0c280a,plan up to the resumed attempt's first day (progress overwritten),10,5,350,130,60,268
2024308-2024328-98ef2b08a820,plan up to the resumed attempt's first day (progress overwritten),3,1,308,88,60,268
2020209-2020229-1a87d235d09c,plan up to the resumed attempt's first day (progress overwritten),6,3,392,219,109,268
2025062-2025082-b22768ad1d65,plan up to the resumed attempt's first day (progress overwritten),5,3,390,190,80,267
2017144-2017164-597188da3e7d,plan up to the resumed attempt's first day (progress overwritten),4,2,338,125,64,267
2016150-2016170-0ffec6444b86,plan up to the resumed attempt's first day (progress overwritten),4,2,338,136,69,266
2024328-2024348-49f306730a84,plan up to the resumed attempt's first day (progress overwritten),24,18,496,298,79,266
2022198-2022218-e764339ecfc9,plan up to the resumed attempt's first day (progress overwritten),28,6,360,345,265,266
2010281-2010301-e6ee1abc2e7d,plan up to the resumed attempt's first day (progress overwritten),11,5,468,440,240,266
2019234-2019254-a641763f94a2,plan up to the resumed attempt's first day (progress overwritten),5,4,391,150,40,266
2025042-2025062-ac6d5cfd2c4c,plan up to the resumed attempt's first day (progress overwritten),5,1,312,155,120,266
2025302-2025322-b61782153837,plan up to the resumed attempt's first day (progress overwritten),18,13,512,325,97,266
2025282-2025302-41f02b7c345f,plan up to the resumed attempt's first day (progress overwritten),4,1,312,130,100,266
2015335-2015355-3a7abcc1ab5e,plan up to the resumed attempt's first day (progress overwritten),2,1,308,78,40,265
2023113-2023133-5e6d22c11a1b,plan up to the resumed attempt's first day (progress overwritten),20,10,468,366,183,265
2015195-2015215-421ca28709a9,plan up to the resumed attempt's first day (progress overwritten),7,3,392,217,97,265
2014180-2014200-8d434bce0fc3,plan up to the resumed attempt's first day (progress overwritten),4,1,280,95,100,265
2017124-2017144-46e673bc17da,plan up to the resumed attempt's first day (progress overwritten),7,2,364,260,180,265
2023253-2023273-c46ab22a0570,plan up to the resumed attempt's first day (progress overwritten),3,2,352,119,40,265
2023313-2023333-ba06806516e7,plan up to the resumed attempt's first day (progress overwritten),12,10,684,474,77,265
2022238-2022258-1fe14ef03034,plan up to the resumed attempt's first day (progress overwritten),6,3,364,189,100,264
2015095-2015115-9df7aea174ca,plan up to the resumed attempt's first day (progress overwritten),4,1,312,131,97,264
2015075-2015095-ab6e6bedec81,plan up to the resumed attempt's first day (progress overwritten),3,1,308,80,40,264
2023153-2023173-4ea454e679c4,plan up to the resumed attempt's first day (progress overwritten),4,1,312,160,120,264
2016270-2016290-07adb34a05bc,plan up to the resumed attempt's first day (progress overwritten),3,1,300,90,59,263
2019234-2019254-2baae832ee10,plan up to the resumed attempt's first day (progress overwritten),10,6,350,137,61,263
2019134-2019154-19b8579f8c13,plan up to the resumed attempt's first day (progress overwritten),6,2,338,148,97,263
2022338-2022358-8d12948b34da,plan up to the resumed attempt's first day (progress overwritten),3,1,312,116,80,263
2021043-2021063-54732481f6d1,plan up to the resumed attempt's first day (progress overwritten),6,1,308,180,140,263
2014260-2014280-cff7e8901eba,plan up to the resumed attempt's first day (progress overwritten),13,2,360,460,380,263
2021063-2021083-2d4d6cf0787a,plan up to the resumed attempt's first day (progress overwritten),4,2,352,127,49,263
2020289-2020309-e8aa08a72448,plan up to the resumed attempt's first day (progress overwritten),6,3,384,165,46,263
2014120-2014140-9367f9054bfa,plan up to the resumed attempt's first day (progress overwritten),4,1,275,111,100,263
2021043-2021063-e53d6449b7b3,plan up to the resumed attempt's first day (progress overwritten),4,1,312,120,80,262
2011116-2011136-9a5a429809db,plan up to the resumed attempt's first day (progress overwritten),13,5,468,510,320,262
2015075-2015095-a3e74f10fc09,plan up to the resumed attempt's first day (progress overwritten),6,2,348,197,118,261
2024048-2024068-ba9255282703,plan up to the resumed attempt's first day (progress overwritten),9,4,429,279,127,261
2018079-2018099-efb645d88760,plan up to the resumed attempt's first day (progress overwritten),8,2,340,231,178,261
2016090-2016110-a2f5a94c6779,plan up to the resumed attempt's first day (progress overwritten),4,2,315,97,51,261
2021023-2021043-e1eb41f02cbd,plan up to the resumed attempt's first day (progress overwritten),12,7,532,445,182,261
2013345-2013365-c4b959bc682a,plan up to the resumed attempt's first day (progress overwritten),9,6,510,320,81,261
2023293-2023313-3ec5850a3664,plan up to the resumed attempt's first day (progress overwritten),27,15,468,327,155,261
2013025-2013045-fb84c8cdef9f,plan up to the resumed attempt's first day (progress overwritten),24,13,432,356,189,261
2016230-2016250-c1dc3dcf75fa,plan up to the resumed attempt's first day (progress overwritten),8,4,420,242,100,261
2019154-2019174-82161dbff64c,plan up to the resumed attempt's first day (progress overwritten),4,3,391,160,40,261
2013365-2014020-d947681c85b2,plan up to the resumed attempt's first day (progress overwritten),12,1,304,458,422,260
2022238-2022258-da4b5d6b3781,plan up to the resumed attempt's first day (progress overwritten),14,12,722,481,42,260
2012291-2012311-0c69716307ab,plan up to the resumed attempt's first day (progress overwritten),14,3,400,520,400,260
2024228-2024248-5cd19e7367e8,plan up to the resumed attempt's first day (progress overwritten),24,21,540,312,40,260
2023093-2023113-91e232dfd9dd,plan up to the resumed attempt's first day (progress overwritten),6,4,432,201,43,260
2017304-2017324-f69ae83abd89,plan up to the resumed attempt's first day (progress overwritten),8,6,476,270,58,259
2012031-2012051-3e30b065bc72,plan up to the resumed attempt's first day (progress overwritten),11,5,455,413,221,259
