tid,yr,doy
7A.ALMA.,2015,216
7A.ALMA.,2015,217
7A.ALMA.,2015,218
7A.ALMA.,2015,255
7A.ALMA.,2015,256
7A.ALMA.,2015,257
7A.ALMA.,2015,258
7A.ALMA.,2015,275
7A.ALMA.,2015,276
7A.ALMA.,2015,277
7A.ALMA.,2015,278
7A.ALMA.,2015,279
7A.ALMA.,2015,280
7A.ALMA.,2015,281
7A.ALMA.,2015,282
7A.AZZI.,2015,17
7A.AZZI.,2015,32
7A.AZZI.,2015,60
7A.AZZI.,2015,215
7A.AZZI.,2015,216
7A.AZZI.,2015,217
7A.AZZI.,2015,218
7A.AZZI.,2015,255
7A.AZZI.,2015,256
7A.AZZI.,2015,257
7A.AZZI.,2015,258
7A.AZZI.,2015,275
7A.AZZI.,2015,276
7A.AZZI.,2015,277
7A.AZZI.,2015,278
7A.AZZI.,2015,279
7A.AZZI.,2015,280
7A.AZZI.,2015,281
7A.AZZI.,2015,282
7A.BARB.,2015,32
7A.BARB.,2015,60
7A.BARB.,2015,215
7A.BARB.,2015,216
7A.BARB.,2015,217
7A.BARB.,2015,218
7A.BARB.,2015,255
7A.BARB.,2015,256
7A.BARB.,2015,257
7A.BARB.,2015,258
7A.BARB.,2015,275
7A.BARB.,2015,276
7A.BARB.,2015,277
7A.BARB.,2015,278
7A.BARB.,2015,279
7A.BARB.,2015,280
7A.BARB.,2015,281
7A.BARB.,2015,282
7A.BDEG.,2015,32
7A.BDEG.,2015,60
7A.BDEG.,2015,215
7A.BDEG.,2015,216
7A.BDEG.,2015,217
7A.BDEG.,2015,218
7A.BDEG.,2015,255
7A.BDEG.,2015,256
7A.BDEG.,2015,257
7A.BDEG.,2015,258
7A.BDEG.,2015,275
7A.BDEG.,2015,276
7A.BDEG.,2015,277
7A.BDEG.,2015,278
7A.BDEG.,2015,279
7A.BDEG.,2015,280
7A.BDEG.,2015,281
7A.BDEG.,2015,282
7A.CABN.,2015,60
7A.CABN.,2015,215
7A.CABN.,2015,216
7A.CABN.,2015,217
7A.CABN.,2015,218
7A.CABN.,2015,255
7A.CABN.,2015,256
7A.CABN.,2015,257
7A.CABN.,2015,258
7A.CABN.,2015,275
7A.CABN.,2015,276
7A.CABN.,2015,277
7A.CABN.,2015,278
7A.CABN.,2015,279
7A.CABN.,2015,280
7A.CABN.,2015,281
7A.CABN.,2015,282
7A.CAKE.,2015,215
7A.CAKE.,2015,216
7A.CAKE.,2015,217
7A.CAKE.,2015,218
7A.CAKE.,2015,255
7A.CAKE.,2015,256
7A.CAKE.,2015,257
7A.CAKE.,2015,258
7A.CAKE.,2015,275
7A.CAKE.,2015,276
7A.CAKE.,2015,277
7A.CAKE.,2015,278
7A.CAKE.,2015,279
7A.CAKE.,2015,280
7A.CAKE.,2015,281
7A.CAKE.,2015,282
7A.CDRF.,2015,215
7A.CDRF.,2015,216
7A.CDRF.,2015,217
7A.CDRF.,2015,218
7A.CDRF.,2015,255
7A.CDRF.,2015,256
7A.CDRF.,2015,257
7A.CDRF.,2015,258
7A.CDRF.,2015,275
7A.CDRF.,2015,276
7A.CDRF.,2015,277
7A.CDRF.,2015,278
7A.CDRF.,2015,279
7A.CDRF.,2015,280
7A.CDRF.,2015,281
7A.CDRF.,2015,282
7A.DENI.,2015,215
7A.DENI.,2015,216
7A.DENI.,2015,217
7A.DENI.,2015,218
7A.DENI.,2015,255
7A.DENI.,2015,256
7A.DENI.,2015,257
7A.DENI.,2015,258
7A.DENI.,2015,275
7A.DENI.,2015,276
7A.DENI.,2015,277
7A.DENI.,2015,278
7A.DENI.,2015,279
7A.DENI.,2015,280
7A.DENI.,2015,281
7A.DENI.,2015,282
7A.FOXP.,2015,215
7A.FOXP.,2015,216
7A.FOXP.,2015,217
7A.FOXP.,2015,218
7A.FOXP.,2015,255
7A.FOXP.,2015,256
7A.FOXP.,2015,257
7A.FOXP.,2015,258
7A.FOXP.,2015,275
7A.FOXP.,2015,276
7A.FOXP.,2015,277
7A.FOXP.,2015,278
7A.FOXP.,2015,279
7A.FOXP.,2015,280
7A.FOXP.,2015,281
7A.FOXP.,2015,282
7A.INTX.,2015,1
7A.INTX.,2015,2
7A.INTX.,2015,3
7A.INTX.,2015,4
7A.INTX.,2015,5
7A.INTX.,2015,135
7A.INTX.,2015,136
7A.INTX.,2015,137
7A.INTX.,2015,138
7A.INTX.,2015,139
7A.INTX.,2015,140
7A.INTX.,2015,141
7A.INTX.,2015,142
7A.INTX.,2015,295
7A.INTX.,2015,296
7A.INTX.,2015,297
7A.INTX.,2015,298
7A.INTX.,2015,299
7A.INTX.,2015,355
7A.INTX.,2015,356
7A.INTX.,2015,357
7A.INTX.,2015,358
7A.INTX.,2015,359
7A.JSPR.,2015,1
7A.JSPR.,2015,2
7A.JSPR.,2015,3
7A.JSPR.,2015,4
7A.JSPR.,2015,5
7A.JSPR.,2015,135
7A.JSPR.,2015,136
7A.JSPR.,2015,137
7A.JSPR.,2015,138
7A.JSPR.,2015,139
7A.JSPR.,2015,140
7A.JSPR.,2015,141
7A.JSPR.,2015,142
7A.JSPR.,2015,295
7A.JSPR.,2015,296
7A.JSPR.,2015,297
7A.JSPR.,2015,298
7A.JSPR.,2015,299
7A.JSPR.,2015,355
7A.JSPR.,2015,356
7A.JSPR.,2015,357
7A.JSPR.,2015,358
7A.JSPR.,2015,359
7A.KENT.,2015,295
7A.KENT.,2015,296
7A.KENT.,2015,297
7A.KENT.,2015,298
7A.KENT.,2015,299
7A.KENT.,2015,355
7A.KENT.,2015,356
7A.KENT.,2015,357
7A.KENT.,2015,358
7A.KENT.,2015,359
7A.LADY.,2015,1
7A.LADY.,2015,2
7A.LADY.,2015,3
7A.LADY.,2015,4
7A.LADY.,2015,5
7A.LADY.,2015,135
7A.LADY.,2015,136
7A.LADY.,2015,137
7A.LADY.,2015,138
7A.LADY.,2015,139
7A.LADY.,2015,140
7A.LADY.,2015,141
7A.LADY.,2015,142
7A.LADY.,2015,295
7A.LADY.,2015,296
7A.LADY.,2015,297
7A.LADY.,2015,298
7A.LADY.,2015,299
7A.LADY.,2015,300
7A.LADY.,2015,301
7A.LADY.,2015,302
7A.LADY.,2015,355
7A.LADY.,2015,356
7A.LADY.,2015,357
7A.LADY.,2015,358
7A.LADY.,2015,359
7A.LADY.,2015,360
7A.LBDL.,2014,360
7A.LBDL.,2015,1
7A.LBDL.,2015,2
7A.LBDL.,2015,3
7A.LBDL.,2015,4
7A.LBDL.,2015,5
7A.LBDL.,2015,135
7A.LBDL.,2015,136
7A.LBDL.,2015,137
7A.LBDL.,2015,138
7A.LBDL.,2015,139
7A.LBDL.,2015,140
7A.LBDL.,2015,141
7A.LBDL.,2015,142
7A.LBDL.,2015,295
7A.LBDL.,2015,296
7A.LBDL.,2015,297
7A.LBDL.,2015,298
7A.LBDL.,2015,299
7A.LBDL.,2015,355
7A.LBDL.,2015,356
7A.LBDL.,2015,357
7A.LBDL.,2015,358
7A.LBDL.,2015,359
7A.LBDL.,2015,360
7A.LBDL.,2015,361
7A.LBDL.,2015,362
7A.MOLE.,2015,295
7A.MOLE.,2015,296
7A.MOLE.,2015,297
7A.MOLE.,2015,298
7A.MOLE.,2015,299
7A.MOLE.,2015,355
7A.MOLE.,2015,356
7A.MOLE.,2015,357
7A.MOLE.,2015,358
7A.MOLE.,2015,359
7A.MUSK.,2015,1
7A.MUSK.,2015,2
7A.MUSK.,2015,3
7A.MUSK.,2015,4
7A.MUSK.,2015,5
7A.MUSK.,2015,135
7A.MUSK.,2015,136
