shard_id,prog_worker,comp_worker,checkpointed_records,manifest_records,station_days,picks_record,surviving_files_not_in_manifest,manifest_files,records_not_in_manifest,records_without_picks_anywhere
2024328-2024348-1f80033e713b,ip-172-31-14-172.us-east-2.compute.internal:17,ip-172-31-47-5.us-east-2.compute.internal:16,160,18,440,18,4,1,160,25
2013045-2013065-050602de78a9,ip-172-31-1-161.us-east-2.compute.internal:16,ip-172-31-0-109.us-east-2.compute.internal:14,160,20,180,20,4,1,160,25
2016330-2016350-dfcc8dc3ecc8,ip-172-31-38-87.us-east-2.compute.internal:16,ip-172-31-24-253.us-east-2.compute.internal:17,40,18,120,18,1,1,40,25
2020209-2020229-73aa47c39f86,ip-172-31-7-253.us-east-2.compute.internal:15,ip-172-31-5-70.us-east-2.compute.internal:15,40,20,580,20,1,1,40,25
2017104-2017124-81d0b13b90d9,ip-172-31-30-245.us-east-2.compute.internal:17,ip-172-31-9-61.us-east-2.compute.internal:17,320,28,398,28,16,2,320,24
2016150-2016170-f566218a5ff0,ip-172-31-20-235.us-east-2.compute.internal:16,ip-172-31-6-220.us-east-2.compute.internal:16,200,20,340,20,5,1,200,24
2013205-2013225-02a7cba10404,ip-172-31-10-166.us-east-2.compute.internal:15,ip-172-31-34-169.us-east-2.compute.internal:15,200,36,540,36,5,1,200,24
2015115-2015135-e18aa030f698,ip-172-31-25-175.us-east-2.compute.internal:14,ip-172-31-29-255.us-east-2.compute.internal:14,560,36,660,36,27,2,560,24
2015115-2015135-cf84ace2ff2b,ip-172-31-6-187.us-east-2.compute.internal:15,ip-172-31-35-84.us-east-2.compute.internal:16,40,20,80,20,1,1,40,23
2013085-2013105-533bd4d97d80,ip-172-31-40-182.us-east-2.compute.internal:14,ip-172-31-27-83.us-east-2.compute.internal:14,40,30,180,30,1,1,40,22
2024288-2024308-2feb39f5b641,ip-172-31-38-5.us-east-2.compute.internal:15,ip-172-31-15-80.us-east-2.compute.internal:15,280,8,560,8,7,1,280,22
2011176-2011196-fe65100dbd5b,ip-172-31-42-183.us-east-2.compute.internal:13,ip-172-31-44-175.us-east-2.compute.internal:14,40,20,220,20,1,1,40,22
2015055-2015075-7ea8374303c6,ip-172-31-13-85.us-east-2.compute.internal:17,ip-172-31-29-47.us-east-2.compute.internal:16,640,39,784,39,16,1,640,22
2014180-2014200-f4910d80ac43,ip-172-31-25-151.us-east-2.compute.internal:14,ip-172-31-33-13.us-east-2.compute.internal:14,160,20,420,20,4,1,160,22
2024048-2024068-c692abc32b52,ip-172-31-27-227.us-east-2.compute.internal:17,ip-172-31-18-136.us-east-2.compute.internal:17,200,20,380,20,5,1,200,22
