id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date,state
8J.24.,8J,24,,EH,38.537849,-113.021927,1482.5,2016.349,2017.015,Utah
8J.25.,8J,25,,EH,38.538502,-112.973953,1480.4,2016.349,2017.015,Utah
8J.26.,8J,26,,EH,38.53915,-112.928101,1511.0,2016.349,2017.015,Utah
8J.27.,8J,27,,EH,38.53875,-112.889236,1511.0,2016.349,2017.015,Utah
8J.28.,8J,28,,EH,38.545052,-112.848648,1720.7,2016.349,2017.015,Utah
8J.29.,8J,29,,EH,38.552681,-112.776756,1806.3,2016.349,2017.015,Utah
8J.3.,8J,3,,EH,38.395401,-112.925217,1616.8,2016.349,2017.015,Utah
8J.30.,8J,30,,EH,38.553741,-112.743561,1779.9,2016.349,2017.015,Utah
8J.31.,8J,31,,EH,38.574421,-113.022339,1465.0,2016.349,2017.015,Utah
8J.32.,8J,32,,EH,38.577332,-112.978981,1466.5,2016.349,2017.015,Utah
8J.33.,8J,33,,EH,38.574532,-112.930939,1487.3,2016.349,2017.015,Utah
8J.34.,8J,34,,EH,38.586609,-112.875847,1556.1,2016.349,2017.015,Utah
8J.35.,8J,35,,EH,38.5755,-112.847618,1723.7,2016.349,2017.015,Utah
8J.36.,8J,36,,EH,38.57336,-112.796127,1792.8,2016.349,2017.015,Utah
8J.37.,8J,37,,EH,38.589569,-112.7239,1702.4,2016.349,2017.015,Utah
8J.38.,8J,38,,EH,38.60957,-113.021378,1459.6,2016.349,2017.015,Utah
8J.39.,8J,39,,EH,38.61021,-112.977097,1464.5,2016.349,2017.015,Utah
8J.4.,8J,4,,EH,38.395611,-112.881104,1797.0,2016.349,2017.015,Utah
8J.40.,8J,40,,EH,38.610191,-112.930969,1476.8,2016.349,2017.015,Utah
8J.41.,8J,41,,EH,38.61377,-112.886749,1504.7,2016.349,2017.015,Utah
8J.42.,8J,42,,EH,38.60434,-112.850212,1617.3,2016.349,2017.015,Utah
8J.43.,8J,43,,EH,38.625149,-112.805946,1627.6,2016.349,2017.015,Utah
8J.44.,8J,44,,EH,38.62632,-112.746101,1676.5,2016.349,2017.015,Utah
8J.45.,8J,45,,EH,38.486191,-112.903214,1618.2,2016.349,2017.015,Utah
8J.46.,8J,46,,EH,38.486401,-112.89579,1645.9,2016.349,2017.015,Utah
8J.47.,8J,47,,EH,38.486488,-112.888313,1674.7,2016.349,2017.015,Utah
8J.48.,8J,48,,EH,38.486599,-112.88089,1704.8,2016.349,2017.015,Utah
8J.49.,8J,49,,EH,38.486698,-112.873398,1736.3,2016.349,2017.015,Utah
8J.5.,8J,5,,EH,38.399689,-112.84996,2002.8,2016.349,2017.015,Utah
8J.50.,8J,50,,EH,38.486801,-112.866013,1777.5,2016.349,2017.015,Utah
8J.51.,8J,51,,EH,38.487381,-112.858276,1787.1,2016.349,2017.015,Utah
8J.52.,8J,52,,EH,38.4921,-112.903397,1610.7,2016.349,2017.015,Utah
8J.53.,8J,53,,EH,38.492199,-112.895912,1634.2,2016.349,2017.015,Utah
8J.54.,8J,54,,EH,38.49231,-112.88858,1666.0,2016.349,2017.015,Utah
8J.55.,8J,55,,EH,38.49239,-112.88102,1692.8,2016.349,2017.015,Utah
8J.56.,8J,56,,EH,38.492599,-112.873611,1730.3,2016.349,2017.015,Utah
8J.57.,8J,57,,EH,38.49271,-112.866127,1768.5,2016.349,2017.015,Utah
8J.58.,8J,58,,EH,38.492809,-112.858704,1797.6,2016.349,2017.015,Utah
8J.59.,8J,59,,EH,38.497879,-112.903442,1600.5,2016.349,2017.015,Utah
8J.6.,8J,6,,EH,38.397839,-112.743973,1921.7,2016.349,2017.015,Utah
8J.60.,8J,60,,EH,38.498138,-112.896103,1624.0,2016.349,2017.015,Utah
8J.61.,8J,61,,EH,38.498211,-112.888588,1649.5,2016.349,2017.015,Utah
8J.62.,8J,62,,EH,38.498291,-112.881203,1689.2,2016.349,2017.015,Utah
8J.63.,8J,63,,EH,38.498409,-112.873703,1722.2,2016.349,2017.015,Utah
8J.64.,8J,64,,EH,38.498501,-112.866318,1757.3,2016.349,2017.015,Utah
8J.65.,8J,65,,EH,38.498711,-112.858803,1773.9,2016.349,2017.015,Utah
8J.66.,8J,66,,EH,38.503792,-112.903732,1593.3,2016.349,2017.015,Utah
8J.67.,8J,67,,EH,38.503922,-112.896271,1628.2,2016.349,2017.015,Utah
8J.68.,8J,68,,EH,38.50399,-112.888809,1622.2,2016.349,2017.015,Utah
8J.69.,8J,69,,EH,38.5042,-112.881378,1641.4,2016.349,2017.015,Utah
8J.7.,8J,7,,EH,38.43021,-113.018982,1511.0,2016.349,2017.015,Utah
8J.70.,8J,70,,EH,38.504311,-112.873932,1674.1,2016.349,2017.015,Utah
8J.71.,8J,71,,EH,38.50444,-112.866402,1712.3,2016.349,2017.015,Utah
8J.72.,8J,72,,EH,38.50449,-112.859009,1777.5,2016.349,2017.015,Utah
8J.73.,8J,73,,EH,38.50967,-112.903877,1580.1,2016.349,2017.015,Utah
8J.74.,8J,74,,EH,38.509811,-112.896393,1619.2,2016.349,2017.015,Utah
8J.75.,8J,75,,EH,38.50988,-112.888977,1638.4,2016.349,2017.015,Utah
8J.76.,8J,76,,EH,38.509998,-112.881462,1661.2,2016.349,2017.015,Utah
8J.77.,8J,77,,EH,38.510109,-112.8741,1700.0,2016.349,2017.015,Utah
